STATE,STATE_ABBREV,ENTIRE_STATE,LOC,LOC_TYPE,SOURCE_DOC,DATE_START,DATE_END,MONTH_DATE,YEAR,FIPS
West Virginia,WV,0,Barbour County,County,2016_WV_MOD,2016-01-01,2016-12-31,2016-01-01,2016,54001
West Virginia,WV,0,Barbour County,County,2016_WV_MOD,2016-01-01,2016-12-31,2016-02-01,2016,54001
West Virginia,WV,0,Barbour County,County,2016_WV_MOD,2016-01-01,2016-12-31,2016-03-01,2016,54001
West Virginia,WV,0,Barbour County,County,2016_WV_MOD,2016-01-01,2016-12-31,2016-04-01,2016,54001
West Virginia,WV,0,Barbour County,County,2016_WV_MOD,2016-01-01,2016-12-31,2016-05-01,2016,54001
West Virginia,WV,0,Barbour County,County,2016_WV_MOD,2016-01-01,2016-12-31,2016-06-01,2016,54001
West Virginia,WV,0,Barbour County,County,2016_WV_MOD,2016-01-01,2016-12-31,2016-07-01,2016,54001
West Virginia,WV,0,Barbour County,County,2016_WV_MOD,2016-01-01,2016-12-31,2016-08-01,2016,54001
West Virginia,WV,0,Barbour County,County,2016_WV_MOD,2016-01-01,2016-12-31,2016-09-01,2016,54001
West Virginia,WV,0,Barbour County,County,2016_WV_MOD,2016-01-01,2016-12-31,2016-10-01,2016,54001
West Virginia,WV,0,Barbour County,County,2016_WV_MOD,2016-01-01,2016-12-31,2016-11-01,2016,54001
West Virginia,WV,0,Barbour County,County,2016_WV_MOD,2016-01-01,2016-12-31,2016-12-01,2016,54001
West Virginia,WV,0,Barbour County,County,2017_WV,2017-01-01,2017-12-31,2017-01-01,2017,54001
West Virginia,WV,0,Barbour County,County,2017_WV,2017-01-01,2017-12-31,2017-02-01,2017,54001
West Virginia,WV,0,Barbour County,County,2017_WV,2017-01-01,2017-12-31,2017-03-01,2017,54001
West Virginia,WV,0,Barbour County,County,2017_WV,2017-01-01,2017-12-31,2017-04-01,2017,54001
West Virginia,WV,0,Barbour County,County,2017_WV,2017-01-01,2017-12-31,2017-05-01,2017,54001
West Virginia,WV,0,Barbour County,County,2017_WV,2017-01-01,2017-12-31,2017-06-01,2017,54001
West Virginia,WV,0,Barbour County,County,2017_WV,2017-01-01,2017-12-31,2017-07-01,2017,54001
West Virginia,WV,0,Barbour County,County,2017_WV,2017-01-01,2017-12-31,2017-08-01,2017,54001
West Virginia,WV,0,Barbour County,County,2017_WV,2017-01-01,2017-12-31,2017-09-01,2017,54001
West Virginia,WV,0,Barbour County,County,2017_WV,2017-01-01,2017-12-31,2017-10-01,2017,54001
West Virginia,WV,0,Barbour County,County,2017_WV,2017-01-01,2017-12-31,2017-11-01,2017,54001
West Virginia,WV,0,Barbour County,County,2017_WV,2017-01-01,2017-12-31,2017-12-01,2017,54001
West Virginia,WV,0,Barbour County,County,2018_WV,2018-01-01,2018-12-31,2018-01-01,2018,54001
West Virginia,WV,0,Barbour County,County,2018_WV,2018-01-01,2018-12-31,2018-02-01,2018,54001
West Virginia,WV,0,Barbour County,County,2018_WV,2018-01-01,2018-12-31,2018-03-01,2018,54001
West Virginia,WV,0,Barbour County,County,2018_WV,2018-01-01,2018-12-31,2018-04-01,2018,54001
West Virginia,WV,0,Barbour County,County,2018_WV,2018-01-01,2018-12-31,2018-05-01,2018,54001
West Virginia,WV,0,Barbour County,County,2018_WV,2018-01-01,2018-12-31,2018-06-01,2018,54001
West Virginia,WV,0,Barbour County,County,2018_WV,2018-01-01,2018-12-31,2018-07-01,2018,54001
